Year,Candidate_ID,Name,State,Category,Prelims_Score,Mains_Score,Interview_Score,Final_Score,AIR (All India Rank),Category_Rank,State_Rank,Selection_Status,Service_Allotted
2017,UPSC198729,Candidate_5114,Maharashtra,ST,66,471,249,786,10026,557,422,Yes,IAS
2021,UPSC986100,Candidate_5488,West Bengal,ST,63,564,195,822,18832,1864,84,Yes,None
2019,UPSC476098,Candidate_1947,Karnataka,EWS,70,811,193,1074,11037,2474,37,Yes,None
2018,UPSC734501,Candidate_1183,Tamil Nadu,ST,157,772,83,1012,6714,4691,265,Yes,IRS
2021,UPSC448226,Candidate_9210,Maharashtra,General,105,365,196,666,19528,37,54,No,None
2022,UPSC358438,Candidate_7446,Maharashtra,General,139,692,216,1047,14877,2729,420,Yes,IAS
2020,UPSC214159,Candidate_7649,Delhi,General,51,664,97,812,7857,219,305,Yes,IAS
2023,UPSC291150,Candidate_2158,Maharashtra,OBC,65,854,180,1099,12139,2612,284,Yes,IAS
2021,UPSC760376,Candidate_5675,West Bengal,General,158,758,261,1177,3313,41,42,Yes,IPS
2019,UPSC984942,Candidate_1301,Uttar Pradesh,SC,194,370,207,771,1670,1932,271,Yes,IAS
2022,UPSC469537,Candidate_4399,Karnataka,EWS,155,833,247,1235,8140,1993,404,Yes,None
2016,UPSC102509,Candidate_1014,Delhi,General,193,774,176,1143,6429,1064,83,Yes,IFS
2020,UPSC692483,Candidate_1811,Maharashtra,OBC,115,475,115,705,19081,2458,279,Yes,None
2018,UPSC178041,Candidate_3338,Delhi,General,114,797,127,1038,10022,3321,397,Yes,IRS
2017,UPSC791686,Candidate_8822,Maharashtra,ST,54,645,164,863,12294,3009,238,Yes,IPS
2017,UPSC295788,Candidate_4458,Delhi,EWS,74,872,253,1199,14907,2912,256,Yes,IFS
2016,UPSC687992,Candidate_1525,Karnataka,EWS,59,339,169,567,1517,1898,230,No,None
2016,UPSC849138,Candidate_9982,Maharashtra,OBC,194,470,93,757,8701,14,130,Yes,IPS
2021,UPSC323957,Candidate_6221,Tamil Nadu,EWS,142,333,52,527,17216,3670,490,No,None
2020,UPSC521953,Candidate_5557,Uttar Pradesh,SC,148,755,202,1105,17385,898,205,Yes,IFS
2021,UPSC707383,Candidate_1955,Karnataka,ST,53,776,82,911,12018,2297,131,Yes,IRS
2017,UPSC488009,Candidate_4986,Maharashtra,EWS,161,466,185,812,219,2241,139,Yes,IPS
2015,UPSC352789,Candidate_5711,West Bengal,EWS,195,895,269,1359,11823,2222,108,Yes,IPS
2022,UPSC413611,Candidate_6033,Uttar Pradesh,ST,69,836,263,1168,16009,198,203,Yes,None
2018,UPSC440417,Candidate_7564,Maharashtra,OBC,74,575,250,899,9251,104,34,Yes,IAS
2016,UPSC212363,Candidate_3987,Uttar Pradesh,General,125,672,110,907,15845,2969,99,Yes,None
2019,UPSC172169,Candidate_8156,Maharashtra,EWS,169,555,85,809,9793,3322,266,Yes,IAS
2016,UPSC979502,Candidate_6743,Uttar Pradesh,General,183,628,171,982,8106,3588,238,Yes,None
2022,UPSC721050,Candidate_9368,Maharashtra,OBC,189,343,190,722,3092,3171,313,Yes,None
2018,UPSC213891,Candidate_6798,Uttar Pradesh,OBC,180,730,183,1093,2932,4451,129,Yes,None
2022,UPSC185899,Candidate_9331,Tamil Nadu,OBC,145,897,237,1279,7997,3224,356,Yes,IAS
2023,UPSC630024,Candidate_3413,Delhi,ST,191,545,194,930,547,4282,448,Yes,IRS
2019,UPSC225989,Candidate_2755,Delhi,EWS,183,353,83,619,2444,263,282,No,None
2023,UPSC542217,Candidate_6157,West Bengal,General,142,848,256,1246,15160,3342,243,Yes,IPS
2023,UPSC974958,Candidate_5171,West Bengal,General,162,708,141,1011,18767,2885,62,Yes,IPS
2024,UPSC606845,Candidate_5787,Delhi,EWS,181,461,120,762,12535,3612,278,Yes,IFS
2022,UPSC992009,Candidate_4418,Uttar Pradesh,EWS,78,300,221,599,4367,232,324,No,None
2015,UPSC549412,Candidate_9509,Karnataka,SC,125,783,154,1062,15745,4102,316,Yes,IFS
2023,UPSC341768,Candidate_2548,Tamil Nadu,EWS,134,301,189,624,7260,3295,271,No,None
2022,UPSC719285,Candidate_2356,Delhi,OBC,176,369,51,596,1869,2114,206,No,None
2022,UPSC469012,Candidate_2557,Maharashtra,OBC,198,811,74,1083,2990,4378,187,Yes,IAS
2020,UPSC777912,Candidate_5883,West Bengal,SC,192,618,211,1021,111,2004,127,Yes,IPS
2023,UPSC571666,Candidate_9317,Tamil Nadu,General,69,340,260,669,17759,2258,146,No,None
2024,UPSC327972,Candidate_6934,Maharashtra,ST,75,605,142,822,9232,2872,129,Yes,IRS
2016,UPSC727258,Candidate_2319,Maharashtra,ST,97,648,90,835,15999,498,417,Yes,None
2023,UPSC676926,Candidate_8982,Delhi,General,87,782,56,925,13659,1536,104,Yes,IPS
2020,UPSC167131,Candidate_4184,Delhi,ST,81,769,150,1000,8162,1447,429,Yes,IAS
2016,UPSC123145,Candidate_3604,Tamil Nadu,ST,98,569,84,751,5027,4252,382,Yes,IAS
2022,UPSC970122,Candidate_3702,Delhi,EWS,58,677,185,920,18554,2285,442,Yes,None
2019,UPSC660567,Candidate_4169,Uttar Pradesh,EWS,104,445,272,821,3345,3077,240,Yes,IAS
2021,UPSC569020,Candidate_1159,Delhi,SC,180,617,112,909,4397,3759,430,Yes,IFS
2018,UPSC618045,Candidate_6765,West Bengal,SC,185,368,240,793,5791,4793,433,Yes,IFS
2015,UPSC213803,Candidate_2247,Tamil Nadu,ST,129,573,203,905,13993,1244,46,Yes,IPS
2018,UPSC211139,Candidate_7555,Delhi,EWS,169,357,157,683,7231,4616,27,No,None
2015,UPSC453716,Candidate_1359,Tamil Nadu,SC,121,801,64,986,6250,3804,285,Yes,IAS
2021,UPSC185042,Candidate_9171,Tamil Nadu,ST,161,820,65,1046,3335,2705,474,Yes,IRS
2015,UPSC372353,Candidate_8146,West Bengal,OBC,129,307,62,498,18218,462,365,No,None
2019,UPSC399078,Candidate_9500,Tamil Nadu,OBC,61,364,184,609,4146,310,484,No,None
2016,UPSC918004,Candidate_8178,Uttar Pradesh,ST,82,728,255,1065,14987,541,125,Yes,None
2021,UPSC565988,Candidate_2962,Uttar Pradesh,ST,83,540,119,742,6906,2228,27,Yes,IFS
2018,UPSC300018,Candidate_6147,Uttar Pradesh,ST,89,689,170,948,15431,3974,170,Yes,None
2016,UPSC379268,Candidate_3155,West Bengal,ST,95,742,156,993,18269,3046,412,Yes,IPS
2019,UPSC310473,Candidate_3260,Uttar Pradesh,SC,154,608,235,997,5588,667,34,Yes,None
2019,UPSC585711,Candidate_6105,Karnataka,ST,87,784,262,1133,14291,542,431,Yes,None
2021,UPSC723236,Candidate_8615,Maharashtra,General,181,767,201,1149,9513,3262,94,Yes,IPS
2017,UPSC465434,Candidate_3184,Uttar Pradesh,OBC,152,600,118,870,13913,3478,120,Yes,IRS
2016,UPSC720874,Candidate_1359,Delhi,OBC,148,792,94,1034,13058,254,78,Yes,None
2024,UPSC803337,Candidate_8419,Delhi,General,188,545,207,940,9087,497,32,Yes,IFS
2022,UPSC379472,Candidate_6122,Delhi,ST,146,317,100,563,10464,3175,440,No,None
2017,UPSC665796,Candidate_8925,Uttar Pradesh,ST,84,543,135,762,5003,3660,175,Yes,IPS
2016,UPSC578027,Candidate_8654,West Bengal,ST,71,693,234,998,15964,3412,480,Yes,IAS
2016,UPSC561069,Candidate_4005,Delhi,SC,50,745,180,975,14303,3485,280,Yes,IFS
2023,UPSC882865,Candidate_3837,Delhi,ST,152,840,222,1214,15639,3190,260,Yes,IAS
2016,UPSC329719,Candidate_4783,Maharashtra,EWS,131,730,267,1128,8738,2678,431,Yes,IFS
2015,UPSC982329,Candidate_8799,West Bengal,SC,113,386,253,752,13478,3034,285,Yes,IAS
2020,UPSC225250,Candidate_6083,Delhi,OBC,149,729,103,981,19029,3434,381,Yes,IPS
2024,UPSC341443,Candidate_8169,Delhi,SC,160,363,115,638,9256,702,204,No,None
2019,UPSC845204,Candidate_3546,Karnataka,ST,181,418,87,686,6520,2990,483,No,None
2015,UPSC165746,Candidate_1536,Tamil Nadu,OBC,154,872,233,1259,11947,160,132,Yes,IFS
2019,UPSC651268,Candidate_3488,Uttar Pradesh,OBC,79,627,69,775,6830,418,389,Yes,IRS
2018,UPSC656781,Candidate_6348,West Bengal,OBC,140,403,196,739,13907,3203,475,Yes,IRS
2022,UPSC512472,Candidate_8782,West Bengal,OBC,153,551,272,976,4365,3594,125,Yes,IAS
2015,UPSC833252,Candidate_2983,Delhi,OBC,127,893,67,1087,8930,2831,167,Yes,IAS
2022,UPSC420945,Candidate_3082,West Bengal,ST,126,465,62,653,847,2590,446,No,None
2021,UPSC675708,Candidate_4536,Tamil Nadu,General,192,698,73,963,4008,1711,372,Yes,IAS
2021,UPSC278095,Candidate_5544,Delhi,ST,74,666,170,910,2143,4708,344,Yes,None
2023,UPSC607922,Candidate_4226,Karnataka,General,177,554,162,893,1733,566,459,Yes,IAS
2018,UPSC911703,Candidate_5178,Maharashtra,General,83,376,235,694,16698,3608,221,No,None
2017,UPSC765634,Candidate_8422,Uttar Pradesh,General,143,536,51,730,13987,3047,49,Yes,IFS
2017,UPSC887839,Candidate_3129,Delhi,SC,102,586,113,801,16767,624,171,Yes,IAS
2021,UPSC239608,Candidate_3211,Uttar Pradesh,OBC,117,853,161,1131,6285,2579,320,Yes,None
2016,UPSC212344,Candidate_5495,Karnataka,OBC,55,632,186,873,19315,486,178,Yes,None
2016,UPSC869844,Candidate_7421,Karnataka,OBC,123,429,105,657,9505,2935,274,No,None
2018,UPSC583246,Candidate_9237,West Bengal,ST,110,836,75,1021,12443,2188,13,Yes,IAS
2016,UPSC668800,Candidate_1568,Delhi,EWS,69,690,220,979,5431,2061,278,Yes,IFS
2016,UPSC997552,Candidate_1142,Karnataka,SC,123,415,129,667,6253,3268,271,No,None
2017,UPSC234748,Candidate_4926,Maharashtra,EWS,51,383,176,610,9482,3536,408,No,None
2022,UPSC574279,Candidate_9181,West Bengal,SC,101,893,53,1047,8987,3556,320,Yes,IRS
2024,UPSC854867,Candidate_7609,Maharashtra,EWS,152,663,257,1072,14614,4831,386,Yes,None
2024,UPSC591245,Candidate_1957,Tamil Nadu,General,158,434,92,684,18366,4136,442,No,None
2016,UPSC661700,Candidate_3967,Uttar Pradesh,ST,50,338,204,592,6036,723,231,No,None
2022,UPSC281246,Candidate_1867,Maharashtra,SC,114,793,170,1077,6568,4401,328,Yes,None
2023,UPSC224848,Candidate_8753,Delhi,EWS,159,623,142,924,5016,1190,242,Yes,IFS
2017,UPSC900695,Candidate_3100,West Bengal,EWS,162,378,71,611,5434,1768,117,No,None
2018,UPSC169649,Candidate_2326,Tamil Nadu,SC,174,836,219,1229,422,2798,155,Yes,IFS
2023,UPSC665340,Candidate_6359,Uttar Pradesh,EWS,137,452,109,698,9514,1040,273,No,None
2018,UPSC397281,Candidate_5423,Maharashtra,EWS,148,814,147,1109,10796,2467,374,Yes,None
2024,UPSC706769,Candidate_4610,Maharashtra,SC,154,348,108,610,10954,3875,218,No,None
2016,UPSC118252,Candidate_4061,West Bengal,General,104,710,258,1072,11909,695,163,Yes,None
2019,UPSC298945,Candidate_6502,Tamil Nadu,General,199,833,221,1253,9290,4131,102,Yes,IAS
2016,UPSC370082,Candidate_2537,Maharashtra,SC,109,492,120,721,15393,3292,348,Yes,IFS
2018,UPSC422321,Candidate_5409,Karnataka,General,75,574,245,894,14539,3998,262,Yes,None
2016,UPSC536383,Candidate_1500,Karnataka,OBC,79,667,271,1017,13472,1987,16,Yes,IRS
2022,UPSC558419,Candidate_4530,Delhi,General,80,740,141,961,1463,4721,188,Yes,IPS
2018,UPSC232778,Candidate_7453,Uttar Pradesh,SC,106,485,231,822,18355,2072,122,Yes,IPS
2018,UPSC805163,Candidate_4407,Uttar Pradesh,SC,113,670,205,988,10695,1322,90,Yes,None
2017,UPSC155622,Candidate_5161,Tamil Nadu,General,63,730,197,990,7955,4547,139,Yes,IPS
2015,UPSC263168,Candidate_4773,Karnataka,General,132,466,197,795,1791,2519,203,Yes,IRS
2017,UPSC425130,Candidate_9041,Maharashtra,ST,162,769,117,1048,11145,2504,398,Yes,IRS
2016,UPSC588072,Candidate_6160,Uttar Pradesh,OBC,179,893,241,1313,6928,1576,192,Yes,None
2017,UPSC797469,Candidate_9793,Maharashtra,SC,174,756,91,1021,1635,2474,409,Yes,IAS
2017,UPSC323155,Candidate_6000,Maharashtra,EWS,190,580,207,977,5439,4861,55,Yes,None
2017,UPSC310923,Candidate_6802,Maharashtra,ST,160,837,134,1131,19988,4474,400,Yes,IFS
2020,UPSC915934,Candidate_2278,Uttar Pradesh,ST,124,895,253,1272,410,3816,105,Yes,IFS
2019,UPSC178667,Candidate_4372,Delhi,General,143,651,91,885,8026,1904,214,Yes,IPS
2016,UPSC991154,Candidate_3230,Karnataka,General,98,577,271,946,16832,996,2,Yes,IFS
2022,UPSC310935,Candidate_8061,Tamil Nadu,ST,136,329,189,654,8282,4630,336,No,None
2019,UPSC798458,Candidate_8188,Karnataka,SC,172,859,148,1179,6986,2028,28,Yes,IAS
2019,UPSC686993,Candidate_3118,Maharashtra,EWS,114,551,161,826,19903,1627,151,Yes,IAS
2016,UPSC153248,Candidate_4161,Tamil Nadu,ST,58,836,254,1148,884,888,388,Yes,IPS
2020,UPSC674106,Candidate_2797,Karnataka,OBC,167,388,220,775,2642,3830,405,Yes,IRS
2020,UPSC288049,Candidate_8598,West Bengal,OBC,170,547,72,789,4879,4677,98,Yes,IPS
2024,UPSC409115,Candidate_4601,Tamil Nadu,OBC,152,594,266,1012,6204,2725,425,Yes,None
2018,UPSC677081,Candidate_6330,Maharashtra,SC,188,431,54,673,18920,4354,482,No,None
2017,UPSC269568,Candidate_4254,West Bengal,OBC,111,740,269,1120,13957,515,321,Yes,IFS
2022,UPSC414287,Candidate_5913,Karnataka,ST,103,346,104,553,15896,2733,162,No,None
2024,UPSC936803,Candidate_5620,Delhi,EWS,88,782,210,1080,4020,1319,179,Yes,IAS
2018,UPSC650010,Candidate_3655,Delhi,SC,122,526,218,866,17618,3411,14,Yes,IRS
2022,UPSC480885,Candidate_4190,Delhi,SC,51,805,156,1012,18133,1874,281,Yes,IAS
2023,UPSC367616,Candidate_5180,Karnataka,General,193,391,265,849,18619,757,310,Yes,IRS
2017,UPSC680451,Candidate_7478,Maharashtra,SC,124,444,121,689,8627,4058,60,No,None
2017,UPSC376954,Candidate_5454,Tamil Nadu,EWS,132,401,204,737,10463,2649,475,Yes,None
2016,UPSC672677,Candidate_6153,West Bengal,General,114,605,166,885,483,2772,82,Yes,IRS
2021,UPSC810550,Candidate_1463,Uttar Pradesh,SC,174,894,172,1240,15917,2846,182,Yes,IFS
2019,UPSC325179,Candidate_5391,Tamil Nadu,EWS,139,365,141,645,716,1425,182,No,None
2016,UPSC684189,Candidate_7143,Karnataka,SC,65,829,231,1125,19194,1614,325,Yes,IFS
2022,UPSC665436,Candidate_1328,Delhi,General,142,685,75,902,17859,1898,274,Yes,IPS
2015,UPSC519103,Candidate_9341,Delhi,OBC,86,300,123,509,10361,4814,253,No,None
2024,UPSC941286,Candidate_7679,Maharashtra,OBC,159,526,268,953,19990,2889,34,Yes,None
2022,UPSC731759,Candidate_9451,Uttar Pradesh,General,113,699,71,883,11874,1432,211,Yes,IFS
2019,UPSC273593,Candidate_7217,Uttar Pradesh,OBC,111,389,169,669,5039,4905,443,No,None
2017,UPSC699767,Candidate_5754,Uttar Pradesh,General,170,399,213,782,9040,3340,278,Yes,IPS
2015,UPSC449760,Candidate_9406,Uttar Pradesh,SC,168,570,65,803,15198,4907,383,Yes,None
2015,UPSC178081,Candidate_4651,West Bengal,EWS,177,332,246,755,15276,1333,68,Yes,IAS
2015,UPSC901566,Candidate_9389,West Bengal,EWS,130,738,215,1083,771,1580,59,Yes,IPS
2018,UPSC127053,Candidate_5753,Maharashtra,OBC,65,469,138,672,1464,1515,356,No,None
2023,UPSC716468,Candidate_1996,Maharashtra,SC,100,418,252,770,13457,4851,348,Yes,None
2017,UPSC295171,Candidate_4524,Uttar Pradesh,ST,174,775,170,1119,19635,3493,477,Yes,IRS
2018,UPSC857094,Candidate_8553,Maharashtra,ST,199,633,261,1093,12085,1317,292,Yes,None
2023,UPSC203659,Candidate_3106,Maharashtra,ST,118,771,166,1055,12224,4283,67,Yes,IFS
2016,UPSC180722,Candidate_7443,Uttar Pradesh,ST,198,862,148,1208,354,2966,320,Yes,None
2022,UPSC890688,Candidate_3690,Tamil Nadu,General,127,341,148,616,3938,872,46,No,None
2023,UPSC362274,Candidate_7291,West Bengal,ST,84,749,193,1026,3907,2464,381,Yes,None
2021,UPSC121450,Candidate_4407,West Bengal,OBC,182,376,161,719,16450,3135,151,Yes,IRS
2020,UPSC100993,Candidate_6382,Delhi,SC,116,890,271,1277,8736,578,448,Yes,None
2021,UPSC342778,Candidate_2370,Tamil Nadu,General,129,688,238,1055,11940,368,52,Yes,IFS
2020,UPSC365429,Candidate_6343,Maharashtra,OBC,53,610,249,912,17891,216,189,Yes,IPS
2020,UPSC750028,Candidate_1631,Karnataka,General,81,459,254,794,12415,3347,229,Yes,IAS
2018,UPSC868040,Candidate_7989,West Bengal,OBC,179,680,257,1116,3000,1140,451,Yes,None
2016,UPSC886351,Candidate_7831,West Bengal,OBC,128,315,62,505,8196,3536,392,No,None
2021,UPSC967549,Candidate_7904,West Bengal,ST,144,475,206,825,1627,1477,265,Yes,None
2019,UPSC956026,Candidate_5621,Tamil Nadu,ST,127,371,135,633,8675,4416,380,No,None
2024,UPSC479283,Candidate_5218,Maharashtra,ST,176,710,235,1121,9905,2652,212,Yes,IRS
2019,UPSC845028,Candidate_7843,Maharashtra,ST,129,605,58,792,4435,956,22,Yes,IFS
2023,UPSC141567,Candidate_7816,Delhi,SC,100,463,204,767,7516,1467,494,Yes,IAS
2021,UPSC687162,Candidate_3919,Karnataka,EWS,121,688,134,943,17963,1206,99,Yes,IAS
2017,UPSC628455,Candidate_2161,Maharashtra,ST,166,830,69,1065,5427,3047,417,Yes,IRS
2021,UPSC939060,Candidate_1951,Delhi,General,148,552,144,844,11155,853,279,Yes,IRS
2022,UPSC956408,Candidate_5510,West Bengal,EWS,99,700,171,970,2984,4470,191,Yes,IFS
2021,UPSC153237,Candidate_2256,West Bengal,ST,55,572,145,772,16377,1448,473,Yes,IAS
2020,UPSC278066,Candidate_2594,Maharashtra,General,164,636,153,953,19404,4942,499,Yes,None
2022,UPSC948572,Candidate_9771,Tamil Nadu,ST,83,466,243,792,11226,40,250,Yes,IPS
2016,UPSC305603,Candidate_9723,Tamil Nadu,ST,75,787,104,966,4670,2238,175,Yes,None
2020,UPSC694103,Candidate_7236,Maharashtra,ST,191,614,61,866,1366,481,221,Yes,IRS
2022,UPSC224377,Candidate_2645,Tamil Nadu,SC,146,729,95,970,9276,1163,43,Yes,IAS
2024,UPSC943060,Candidate_7328,Uttar Pradesh,OBC,146,823,264,1233,5283,1361,221,Yes,IRS
2018,UPSC708405,Candidate_4551,Maharashtra,OBC,170,637,112,919,11031,1143,358,Yes,IAS
2022,UPSC772736,Candidate_8137,West Bengal,EWS,141,879,184,1204,357,1637,52,Yes,None
2018,UPSC533454,Candidate_2478,Karnataka,ST,60,751,52,863,12177,1954,458,Yes,None
2017,UPSC213012,Candidate_3842,Uttar Pradesh,SC,123,721,69,913,8274,2836,121,Yes,IPS
2019,UPSC547859,Candidate_8918,Uttar Pradesh,General,122,791,213,1126,6300,2571,64,Yes,IAS
2024,UPSC129115,Candidate_3164,Karnataka,SC,79,601,113,793,13800,2922,30,Yes,IFS
2020,UPSC817044,Candidate_4471,Tamil Nadu,SC,193,438,192,823,16246,4871,241,Yes,None
2019,UPSC103888,Candidate_8955,Uttar Pradesh,OBC,162,711,112,985,7687,2472,432,Yes,IAS
2018,UPSC520907,Candidate_6979,Maharashtra,OBC,59,436,237,732,6320,2081,314,Yes,None
2024,UPSC232545,Candidate_5833,Karnataka,General,86,880,178,1144,10177,2855,498,Yes,IFS
2015,UPSC812122,Candidate_2566,Maharashtra,SC,87,379,75,541,1147,1856,282,No,None
2024,UPSC783386,Candidate_4635,Uttar Pradesh,SC,111,838,252,1201,17314,4934,384,Yes,None
2023,UPSC554280,Candidate_4699,Delhi,EWS,55,642,182,879,1494,3058,362,Yes,None
2015,UPSC168068,Candidate_7690,Delhi,General,55,566,220,841,5260,3955,296,Yes,IAS
2015,UPSC274116,Candidate_3655,Tamil Nadu,General,145,823,131,1099,16219,3901,258,Yes,IFS
2018,UPSC156434,Candidate_8455,Tamil Nadu,EWS,155,789,260,1204,2988,3116,285,Yes,None
2018,UPSC139722,Candidate_8752,West Bengal,OBC,153,769,73,995,17927,3105,357,Yes,None
2024,UPSC923623,Candidate_4092,Maharashtra,SC,57,817,119,993,14395,1037,266,Yes,IFS
2021,UPSC117404,Candidate_3636,Maharashtra,ST,102,316,166,584,2310,4453,296,No,None
2023,UPSC192977,Candidate_5801,West Bengal,OBC,159,465,205,829,6621,1542,59,Yes,IFS
2019,UPSC734088,Candidate_6827,Karnataka,EWS,85,368,69,522,8055,393,85,No,None
2024,UPSC514459,Candidate_4750,Maharashtra,EWS,173,829,121,1123,11335,604,452,Yes,None
2016,UPSC632828,Candidate_1692,Delhi,EWS,97,705,173,975,18048,4174,104,Yes,None
2017,UPSC570008,Candidate_5543,Tamil Nadu,SC,147,547,130,824,3667,4758,158,Yes,IFS
2022,UPSC628635,Candidate_1065,Tamil Nadu,SC,176,596,263,1035,2372,3138,6,Yes,IAS
2023,UPSC575032,Candidate_6386,Maharashtra,SC,135,610,130,875,11419,3415,212,Yes,None
2020,UPSC246798,Candidate_4982,Delhi,General,115,406,142,663,7797,2772,284,No,None
2024,UPSC903747,Candidate_7081,Delhi,EWS,118,792,271,1181,82,2229,459,Yes,None
2020,UPSC230957,Candidate_3311,Maharashtra,SC,57,889,190,1136,2643,1086,182,Yes,IPS
2019,UPSC563311,Candidate_1502,Tamil Nadu,OBC,104,818,56,978,6003,3793,432,Yes,IAS
2023,UPSC622996,Candidate_3473,West Bengal,General,83,452,52,587,7155,2701,190,No,None
2015,UPSC277537,Candidate_6832,Uttar Pradesh,ST,105,792,64,961,5124,2069,54,Yes,IRS
2021,UPSC715455,Candidate_4873,Karnataka,SC,83,600,85,768,2924,1062,396,Yes,None
2024,UPSC593607,Candidate_9295,Delhi,ST,172,412,109,693,15559,2448,147,No,None
2018,UPSC582541,Candidate_5726,West Bengal,General,128,511,218,857,7451,4824,6,Yes,IAS
2023,UPSC765318,Candidate_1613,West Bengal,EWS,89,353,111,553,8577,2123,334,No,None
2022,UPSC555626,Candidate_2832,Karnataka,SC,184,447,152,783,13718,4688,209,Yes,IFS
2019,UPSC993180,Candidate_4612,Karnataka,EWS,67,664,99,830,7184,2322,458,Yes,IRS
2016,UPSC529472,Candidate_2799,Uttar Pradesh,EWS,127,805,119,1051,492,1492,186,Yes,IRS
2022,UPSC745817,Candidate_8784,Karnataka,General,97,563,220,880,17116,4672,69,Yes,None
2020,UPSC488465,Candidate_6033,Delhi,SC,154,737,144,1035,600,3686,416,Yes,IFS
2017,UPSC267165,Candidate_9045,Tamil Nadu,EWS,108,462,177,747,16116,2830,459,Yes,IRS
2023,UPSC222106,Candidate_8617,Tamil Nadu,General,170,403,270,843,16626,1912,394,Yes,None
2016,UPSC461247,Candidate_9895,Delhi,General,123,793,259,1175,7370,3640,120,Yes,IPS
2019,UPSC780311,Candidate_9667,West Bengal,OBC,141,349,87,577,14565,4770,339,No,None
2019,UPSC930333,Candidate_2038,Maharashtra,EWS,107,604,210,921,9088,4909,1,Yes,IRS
2020,UPSC973024,Candidate_3900,Tamil Nadu,ST,181,789,152,1122,5072,2889,42,Yes,None
2021,UPSC405013,Candidate_1942,Delhi,General,113,372,145,630,1279,2500,177,No,None
2023,UPSC889664,Candidate_7842,Uttar Pradesh,ST,58,798,220,1076,4066,1510,259,Yes,None
2020,UPSC737247,Candidate_5611,Maharashtra,EWS,67,722,148,937,905,1776,491,Yes,IPS
2019,UPSC487522,Candidate_1705,Tamil Nadu,OBC,170,757,225,1152,13943,2375,251,Yes,IRS
2015,UPSC258475,Candidate_6434,Maharashtra,ST,122,324,224,670,5954,2489,398,No,None
2024,UPSC800880,Candidate_6620,Maharashtra,SC,166,868,114,1148,1362,351,199,Yes,IFS
2018,UPSC385258,Candidate_1722,Delhi,ST,163,426,182,771,9375,4667,20,Yes,None
2021,UPSC420784,Candidate_9518,Tamil Nadu,ST,197,641,216,1054,9481,4257,273,Yes,IFS
2020,UPSC588047,Candidate_7430,Uttar Pradesh,OBC,75,694,223,992,16761,2808,80,Yes,None
2016,UPSC714846,Candidate_6277,Delhi,EWS,141,868,270,1279,10871,4195,353,Yes,None
2022,UPSC544103,Candidate_9955,Delhi,EWS,188,476,190,854,9192,1761,448,Yes,IAS
2021,UPSC498233,Candidate_7801,Tamil Nadu,General,53,407,151,611,14944,667,8,No,None
2024,UPSC949063,Candidate_4539,Tamil Nadu,ST,119,462,235,816,14994,4265,137,Yes,None
2023,UPSC127226,Candidate_7292,West Bengal,EWS,159,898,157,1214,2400,4590,486,Yes,IRS
2020,UPSC452825,Candidate_9764,Delhi,EWS,190,590,237,1017,17000,3121,51,Yes,None
2018,UPSC648010,Candidate_7422,Delhi,OBC,127,865,156,1148,1429,2894,299,Yes,IRS
2016,UPSC226941,Candidate_5107,Karnataka,General,63,804,116,983,4964,4554,283,Yes,IPS
2015,UPSC229028,Candidate_6471,Maharashtra,SC,81,476,126,683,10019,894,489,No,None
2018,UPSC536117,Candidate_3149,Delhi,EWS,62,855,253,1170,7952,3236,403,Yes,None
2024,UPSC349755,Candidate_6087,Maharashtra,SC,79,432,161,672,13464,992,166,No,None
2022,UPSC494224,Candidate_6807,West Bengal,ST,198,543,210,951,4951,3490,433,Yes,IRS
2018,UPSC571923,Candidate_4832,Maharashtra,ST,185,686,150,1021,1358,2300,273,Yes,IFS
2017,UPSC829052,Candidate_4439,Maharashtra,SC,187,476,52,715,19551,2312,168,Yes,None
2018,UPSC215983,Candidate_2100,Karnataka,EWS,127,884,96,1107,278,481,102,Yes,IRS
2020,UPSC222493,Candidate_9777,Delhi,OBC,173,658,263,1094,7119,2965,347,Yes,IFS
2017,UPSC294483,Candidate_8801,Maharashtra,General,161,398,155,714,16261,1167,387,Yes,None
2020,UPSC728560,Candidate_9324,Tamil Nadu,General,90,770,178,1038,13209,2994,411,Yes,IPS
2024,UPSC740205,Candidate_9017,Delhi,General,57,541,148,746,733,849,57,Yes,IAS
2016,UPSC229071,Candidate_7314,Delhi,General,120,858,130,1108,14726,3257,160,Yes,IRS
2023,UPSC436848,Candidate_7660,Tamil Nadu,SC,139,713,144,996,8475,4677,440,Yes,IRS
2015,UPSC473674,Candidate_4891,West Bengal,EWS,140,578,119,837,11196,989,219,Yes,IRS
2015,UPSC167426,Candidate_6695,Maharashtra,General,61,724,86,871,17866,4812,399,Yes,IRS
2021,UPSC308643,Candidate_2798,Karnataka,OBC,71,765,144,980,11586,4641,10,Yes,IRS
2018,UPSC615388,Candidate_8937,Tamil Nadu,ST,120,340,117,577,5760,4450,453,No,None
2022,UPSC162770,Candidate_5610,Karnataka,ST,200,377,111,688,2890,686,400,No,None
2017,UPSC236379,Candidate_5892,Karnataka,EWS,193,513,176,882,3176,1184,14,Yes,IAS
2021,UPSC859698,Candidate_8207,Karnataka,ST,143,388,162,693,18719,4440,282,No,None
2021,UPSC271222,Candidate_1886,Tamil Nadu,OBC,66,666,112,844,19319,1486,250,Yes,IRS
2021,UPSC862294,Candidate_6873,Uttar Pradesh,ST,114,716,157,987,3004,294,462,Yes,IAS
